x1,stratum,species.x,years,density_trend,density_f,density_95_percent_ci,occupancy_trend,occupancy_f,occupancy_95_percent_ci,scientific_name,taxon_id,gbif_taxonID,kingdom,phylum,class,order,family,genus,species.y
4247,CO-BCR16-SA: San Juan National Forest,Lesser Goldfinch,2008-2024,6.72,0.771,"(-8.82, 25.81)",0.48,0.5275,"(-10.61, 15.13)",Spinus psaltria,5231647,5231647,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus psaltria
4248,CO-BCR16-SA: San Juan National Forest,Lewis's Woodpecker,2008-2024,3.02,0.6965,"(-8.07, 17.19)",3.34,0.741,"(-6.87, 16.2)",Melanerpes lewis,2478142,2478142,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes lewis
4249,CO-BCR16-SA: San Juan National Forest,Lincoln's Sparrow,2008-2024,5.71,0.9525,"(-0.52, 12.44)",4.9,0.94125,"(-1.65, 11.75)",Melospiza lincolnii,2492192,2492192,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,Melospiza lincolnii
4250,CO-BCR16-SA: San Juan National Forest,MacGillivray's Warbler,2008-2024,12.06,0.993333333333333,"(2.45, 22.37)",7.95,0.955,"(-1.48, 17.8)",Geothlypis tolmiei,5789146,5789146,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,Geothlypis tolmiei
4251,CO-BCR16-SA: San Juan National Forest,Mallard,2008-2024,13.02,0.971875,"(-0.19, 30.82)",11.14,0.958,"(-1.09, 28.19)",Anas platyrhynchos,9761484,9761484,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos
4252,CO-BCR16-SA: San Juan National Forest,Mountain Bluebird,2008-2024,1.11,0.61875,"(-5.15, 9.44)",-3.28,0.8325,"(-10.13, 3.69)",Sialia currucoides,2490935,2490935,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,Sialia currucoides
4253,CO-BCR16-SA: San Juan National Forest,Mountain Chickadee,2008-2024,1.61,0.891875,"(-1.03, 4.58)",2.69,0.956,"(-0.58, 6.14)",Poecile gambeli,2487825,2487825,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile gambeli
4254,CO-BCR16-SA: San Juan National Forest,Mourning Dove,2008-2024,0.06,0.505,"(-7.45, 7.59)",2.56,0.75,"(-4.89, 10.89)",Zenaida macroura,2495347,2495347,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,Zenaida macroura
4255,CO-BCR16-SA: San Juan National Forest,Northern Flicker,2008-2024,4.69,0.990833333333333,"(0.64, 8.54)",1.89,0.825833333333333,"(-2.28, 6.1)",Colaptes auratus,2478259,2478259,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Colaptes auratus
4256,CO-BCR16-SA: San Juan National Forest,Northern Mockingbird,2008-2024,10.9,0.845,"(-8.76, 38.29)",3.95,0.67,"(-13.23, 29.85)",Mimus polyglottos,5231677,5231677,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus,Mimus polyglottos
4257,CO-BCR16-SA: San Juan National Forest,Northern Pygmy-Owl,2008-2024,3.72,0.703,"(-10.04, 20.47)",1.26,0.576,"(-13.37, 19.63)",Glaucidium gnoma,9616953,9616953,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,Glaucidium gnoma
4258,CO-BCR16-SA: San Juan National Forest,Olive-sided Flycatcher,2008-2024,6.95,0.907,"(-3.83, 18.93)",2.23,0.627,"(-9.58, 16.4)",Contopus cooperi,5229743,5229743,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus cooperi
4259,CO-BCR16-SA: San Juan National Forest,Orange-crowned Warbler,2008-2024,7.94,0.946,"(-1.68, 20.64)",6.03,0.916,"(-2.65, 15.73)",Leiothlypis celata,8169649,8169649,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,Leiothlypis celata
4260,CO-BCR16-SA: San Juan National Forest,Osprey,2008-2024,-3.74,0.768,"(-13.36, 7.26)",-4.54,0.808,"(-14.19, 5.76)",Pandionidae,4408414,4408414,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,NA,NA
4260,CO-BCR16-SA: San Juan National Forest,Osprey,2008-2024,-3.74,0.768,"(-13.36, 7.26)",-4.54,0.808,"(-14.19, 5.76)",Pandion haliaetus,2480726,2480726,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,Pandion haliaetus
4262,CO-BCR16-SA: San Juan National Forest,Pine Grosbeak,2008-2024,1.89,0.673,"(-5.92, 12.84)",2.96,0.711,"(-6.38, 14.9)",Pinicola enucleator,2494771,2494771,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pinicola,Pinicola enucleator
4263,CO-BCR16-SA: San Juan National Forest,Pine Siskin,2008-2024,-1.33,0.76,"(-5.03, 2.31)",-0.31,0.565833333333333,"(-3.9, 3.5)",Spinus pinus,5231635,5231635,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,Spinus pinus
4264,CO-BCR16-SA: San Juan National Forest,Pinyon Jay,2008-2024,10.23,0.925,"(-4.08, 28.43)",-1.35,0.569,"(-14.18, 13.32)",Gymnorhinus cyanocephalus,5229498,5229498,Animalia,Chordata,Aves,Passeriformes,Corvidae,Gymnorhinus,Gymnorhinus cyanocephalus
4265,CO-BCR16-SA: San Juan National Forest,Plumbeous Vireo,2008-2024,-2.05,0.676,"(-10.15, 6.78)",-3.36,0.784,"(-11.14, 5.32)",Vireo plumbeus,9353154,9353154,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo plumbeus
4266,CO-BCR16-SA: San Juan National Forest,Purple Martin,2008-2024,5.25,0.79125,"(-7.83, 20.86)",2.18,0.6275,"(-9.15, 15.8)",Progne subis,2489129,2489129,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,Progne subis
4267,CO-BCR16-SA: San Juan National Forest,Pygmy Nuthatch,2008-2024,3.16,0.753333333333333,"(-5.84, 13.09)",2.48,0.716666666666667,"(-5.97, 12.11)",Sitta pygmaea,2484907,2484907,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta pygmaea
4268,CO-BCR16-SA: San Juan National Forest,Red Crossbill,2008-2024,11.36,0.998333333333333,"(3.97, 21.92)",10.91,1,"(3.41, 20.03)",Loxia curvirostra,9629160,9629160,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,Loxia curvirostra
4269,CO-BCR16-SA: San Juan National Forest,Red-breasted Nuthatch,2008-2024,6.05,0.985625,"(0.82, 11.89)",7.88,0.995,"(2.19, 14.6)",Sitta canadensis,2484879,2484879,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta canadensis
4270,CO-BCR16-SA: San Juan National Forest,Red-naped Sapsucker,2008-2024,-5.47,0.882,"(-14.03, 2.92)",-6.55,0.9495,"(-14.63, 1.51)",Sphyrapicus nuchalis,9406038,9406038,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus,Sphyrapicus nuchalis
4271,CO-BCR16-SA: San Juan National Forest,Red-tailed Hawk,2008-2024,4.2,0.873333333333333,"(-2.79, 13.36)",3.93,0.885,"(-2.21, 13.86)",Buteo jamaicensis,2480542,2480542,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Buteo jamaicensis
4272,CO-BCR16-SA: San Juan National Forest,Red-winged Blackbird,2008-2024,-0.46,0.52,"(-16.4, 17.92)",-2.42,0.632,"(-15.75, 12.82)",Agelaius phoeniceus,9409198,9409198,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus
4273,CO-BCR16-SA: San Juan National Forest,Rock Wren,2008-2024,4.15,0.759166666666667,"(-6.5, 16.08)",1.49,0.605,"(-8.31, 14.66)",Salpinctes obsoletus,5231483,5231483,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Salpinctes,Salpinctes obsoletus
4274,CO-BCR16-SA: San Juan National Forest,Ruby-crowned Kinglet,2008-2024,-0.14,0.5285,"(-3.49, 3.39)",-0.27,0.5425,"(-4.44, 3.64)",Corthylio calendula,2484597,11261360,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,Regulus calendula
4275,CO-BCR16-SA: San Juan National Forest,Savannah Sparrow,2008-2024,-6.7,0.79,"(-21.04, 10.47)",-8.02,0.845,"(-21.6, 8.62)",Passerculus sandwichensis,5231142,5231142,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis
4276,CO-BCR16-SA: San Juan National Forest,Say's Phoebe,2008-2024,-0.41,0.533125,"(-9.6, 8.7)",-3.38,0.75,"(-11.8, 6.09)",Sayornis saya,2483607,2483607,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,Sayornis saya
4277,CO-BCR16-SA: San Juan National Forest,Sharp-shinned Hawk,2008-2024,0.65,0.546,"(-11.5, 12.84)",0.87,0.575,"(-8.63, 14.63)",Accipiter striatus,9740253,9740253,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus
